"contrast","gene","log2FoldChange","baseMean","stat","pvalue","padj","positive_group","negative_group","positive_n","negative_n"
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","DDR1",0.93415537500001,10.2440983541667,8.36830444667699,1.23039665171508e-13,3.76961735984954e-12,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","RFC2",0.407452250000003,8.01012795833333,4.65982896314281,8.2494410305063e-06,5.18175150217903e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HSPA6",-0.155208083333328,8.21189054166667,-0.988942744964159,0.324677783828407,0.455644589867588,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PAX8",0.081955479166675,6.00314407291667,2.52078637932247,0.0130192041178271,0.0339154750760484,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","GUCA1A",0.145884222222226,5.25138688888889,3.22334841605833,0.00163125011957633,0.00567836611691241,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MIR5193",-0.208524916666658,8.92890479166666,-2.59174103972706,0.0107321824854181,0.0287570354848797,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","THRA",-0.11042195833333,6.5509756875,-3.73205158452074,0.00029147550762375,0.00125838678525807,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PTPN21",-0.858333599999994,6.59509623333333,-10.7039096677067,3.46402188721508e-19,3.42851836070748e-17,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CCL5",-0.757061888888886,9.91609627777778,-4.66011525338062,8.23973403778934e-06,5.17770154498823e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CYP2E1",0.0315828333333377,5.05976052777778,0.560735393542925,0.576021715122738,0.692843085237928,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","EPHB3",0.723612166666677,7.46740825,6.85554693487763,3.26604310790284e-10,5.10405585741176e-09,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ESRRA",0.217083583333347,8.05162545833333,4.85208458684876,3.70451081490759e-06,2.50346034699653e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CYP2A6",0.116364291666673,6.53568272916667,2.09821822799729,0.037980080372872,0.0830521807093755,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SCARB1",-0.0689515999999983,6.3089494,-1.44582240543542,0.150829443087477,0.253243020852776,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TTLL12",0.56008141666667,8.256659125,6.62056335574209,1.05560479538833e-09,1.49521265957568e-08,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","LINC00152",0.291766000000004,7.72922591666667,3.437272944289,0.000807809073747558,0.00308843587028083,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WFDC2",0.734073777777787,7.24595716666667,7.88166725667371,1.63807644127518e-12,4.04691497789687e-11,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MAPK1",-0.21427638095237,7.84964223809524,-3.53599170615384,0.000577914166980271,0.00229942529732376,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ADAM32",0.0252940000000006,4.28542333333333,0.600131366373391,0.549548475703005,0.670341112706756,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SPATA17",0.14682866666667,5.52676983333333,1.07420857568429,0.284880957334497,0.412851931554729,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PRR22",0.0936349166666766,6.26290895833333,1.92582789380448,0.0564876671614885,0.115072433533448,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PXK",-0.39241833333333,6.72794508333333,-5.34045947416538,4.4524231330983e-07,3.6905279249065e-06,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","VPS18",-0.00175024999999618,7.066039375,-0.0357138058226422,0.971569806038019,0.982590668558198,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
