"collection","msigdb_version","contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_ADIPOGENESIS",0.00120983339161738,0.00226234352412378,0.45505986738723,-0.343969554133056,-1.53252986255371,191,"FABP4;ITIH5;FZD4;ACADL;CD36;STOM;HSPB8;ADIPOR2;ANGPT1;LIFR;LPL;GPX3;SPARCL1;SOWAHC;PPARG;MYLK;LTC4S;SULT1A1;CAT;LAMA4;SORBS1;CYP4B1;CD302;PFKFB3;BCL6;ACAA2;ALDH2;RETN;PDCD4;RMDN3;LPCAT3;ABCA1;MGLL;STAT5A;PPP1R15B;DNAJC15;ATP1B3;IFNGR1;ESYT1;ENPP2;QDPR;IDH3A;PGM1;DECR1;PLIN2"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_ALLOGRAFT_REJECTION",2.44929231320564e-05,6.12323078301411e-05,0.575610261071129,-0.394412544341093,-1.75831414039566,195,"PRF1;CFP;KLRD1;HLA-E;FGR;PRKCB;IL6;ETS1;GZMB;IL18RAP;ITGAL;CCL4;CRTAM;PF4;CD247;GPR65;JAK2;SRGN;APBB1;TGFB2;ICAM1;C2;IL15;PTPRC;GZMA;IL12A;LCP2;IL1B;NLRP3;FAS;IL16;IL4R;CCL5;CCND2;CCL2;IFNGR1;ITK;IRF8;EIF3A;IL2RB;NCK1;CCR1;HCLS1;TNF;BCL10;NCF4;TLR3;CD8A;RIPK2;CTSS;CD1D;CCND3;SPI1;TAP2;PTPN6;TLR1;MBL2;BCL3;CD7;IFNG;ZAP70;WAS;IL12RB1;CD40;LY86;GBP2;FLNA;B2M;NCR1;CD47;NOS2;EREG;IL18;ELF4;CD86;FASLG;CSF1;TRAT1;ELANE;SOCS5;TLR6;IL10;LYN;ABI1;DEGS1;CCR2;LIF;CD4;CD2;STAT4;IL9;CD3E;IGSF6;LCK;UBE2N;TLR2"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_ANDROGEN_RESPONSE",0.00869559111087013,0.0135868611107346,0.380730400722792,-0.373601735711116,-1.51056416819522,97,"PTPN21;AKAP12;LIFR;ADAMTS1;PIAS1;IDI1;TARP;VAPA;MYL12A;INSIG1;SGK1;TSC22D1;SLC26A2;SRF;HERC3;CAMKK2;SLC38A2;MAF;HMGCR;HPGD;MAK;GPD1L;CCND3;ZMIZ1;FKBP5;NCOA4;DHCR24;ACSL3;SCD;ELOVL5;HMGCS1;NDRG1;DBI;STEAP4;B2M;ZBTB10;NKX3-1;B4GALT1"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_ANGIOGENESIS",0.0900692840646651,0.112586605080831,0.227987202850442,-0.412806297933764,-1.38282650001734,35,"THBD;KCNJ8;S100A4;LPL;SLCO2A1;PF4;MSX1;OLR1;PGLYRP1;CCND2;FGFR1;VEGFA;JAG1;PDGFA;FSTL1"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_APICAL_JUNCTION",9.74452984338056e-05,0.000221466587349558,0.538434096309916,-0.36769256691749,-1.63603746168288,189,"PECAM1;CLDN5;ICAM2;VWF;SLIT2;RRAS;CLDN18;ARHGEF6;AKT3;CLDN11;ACTN2;NFASC;MYL9;CD34;MSN;MYH10;LAMA3;TJP1;EPB41L2;CD274;JAM3;SGCE;CX3CL1;NEXN;LAYN;INSIG1;ICAM1;PARVA;PTPRC;NEGR1;MAP4K2;ACTG2;TSC1;ZYX;VCL;RHOF;AMIGO1;SORBS3;TSPAN4;ICAM4;ARPC2;PIK3R3;SIRPA;TAOK2;GNAI2;ITGA10;ICAM5;PTEN;FLNC;BAIAP2;RAC2;MYL12B;RSU1;MYH9;SKAP2"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_APICAL_SURFACE",0.0976744186046512,0.119115144639818,0.219250346703755,-0.376408490409524,-1.31157079305394,43,"NTNG1;MAL;ADIPOR2;CD160;SRPX;CX3CL1;PCSK9;AKAP7;IL2RB;GAS1"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_APOPTOSIS",5.396212143647e-05,0.000128481241515405,0.557332238758646,-0.39918615662214,-1.73610453531257,159,"CAV1;TGFBR3;PRF1;FEZ1;BMP2;NEDD9;GPX3;GADD45B;EMP1;IL6;TIMP3;ATF3;IRF1;CFLAR;ETF1;DNAJA1;CD69;MCL1;EGR3;ANXA1;DCN;SMAD7;CASP1;TGFB2;CLU;JUN;RHOB;BCL2L2;IGFBP6;SATB1;PDCD4;IL1B;FAS;SPTAN1;BTG2;ADD1;GCH1;IL1A;CDKN1A;HGF;CCND2;TIMP2;IFNGR1;ROCK1;CYLD;TNF;TSPO;BCL10;BIRC3;RELA;CDKN1B;TNFSF10;GSN;CASP4;RARA;CD44;AVPR1A;LMNA;PEA15;BNIP3L;CD14;CCNA1;HMOX1"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_BILE_ACID_METABOLISM",0.0163110431875055,0.0226542266493132,0.352487857583619,-0.336831414262024,-1.38706970658177,109,"ABCA6;ABCA9;ABCA8;IDI1;BMP6;OPTN;ABCA3;SLCO1A2;AQP9;CAT;NEDD4;CYP27A1;HSD17B11;HSD17B6;BCAR3;PECR;ALDH1A1;SULT2B1;ABCA1;CH25H;NPC1;RXRA;HACL1;RXRG;ACSL1;SLC23A2;NR3C2;AR;APOA1"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.227477477477477,0.24725812769291,0.136490437780413,-0.292302348254006,-1.13129267061267,72,"LPL;IDI1;LDLR;ATF3;STARD4;PPARG;LSS;NFIL3;CLU;FABP5;CPEB2;PNRC1;ANTXR2;ATXN2;HMGCR;CXCL16;JAG1;ETHE1;AVPR1A;SCD;CD9;HMGCS1;SREBF2;GNAI1;CYP51A1"
"Hallmark","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HALLMARK_COAGULATION",0.0059022196963507,0.00951970918766243,0.407017918923954,-0.348150317040012,-1.47568611580529,136,"PECAM1;VWF;THBD;CFD;FYN;A2M;MAFF;F10;SERPING1;CPB2;TIMP3;PROS1;F8;PDGFB;F3;CSRP1;KLF7;ANXA1;PF4;C2;CLU;OLR1;P2RY1;C8B;RAPGEF3;C1QA;PLEK;MSRB2;SERPINA1;RGN;CTSO;ISCU;APOA1;SERPINE1;CRIP2;GSN;MBL2"
